date,mode,count,count_sa,count_ma90,count_sa_ma90
2024-03-18,Metro-North Railroad,190770,175664.1456584896,158174.51111111112,172379.83508952367
2024-03-19,Metro-North Railroad,210028,170315.91005234257,158214.6,172454.5191293273
2024-03-20,Metro-North Railroad,206030,171570.16698972712,158288.14444444445,172473.42650504148
2024-03-21,Metro-North Railroad,200037,172157.28199955064,158220.01111111112,172484.64911637345
2024-03-22,Metro-North Railroad,187489,171548.56926394466,158858.1888888889,172503.1605902745
2024-03-23,Metro-North Railroad,77331,155758.43430562044,158852.15555555557,172376.03686523277
2024-03-24,Metro-North Railroad,80451,173173.3596476966,159019.94444444444,172459.08056726787
2024-03-25,Metro-North Railroad,192720,173806.43033003874,159017.83333333334,172342.61114367296
2024-03-26,Metro-North Railroad,211566,172856.85422666906,159295.88888888888,172404.35164302535
2024-03-27,Metro-North Railroad,207744,170727.62165718063,159457.1,172548.5378324198
2024-03-28,Metro-North Railroad,200583,172433.3249177766,159348.45555555556,172521.30799204513
2024-03-29,Metro-North Railroad,198343,168259.5733957177,160200.63333333333,172525.82544542485
2024-03-30,Metro-North Railroad,111061,176930.0756371988,160439.6,172614.4519803473
2024-03-31,Metro-North Railroad,98458,182128.32140994415,160711.83333333334,173112.22215345936
2024-04-01,Metro-North Railroad,180107,167220.39551954006,160657.7111111111,172683.60602260585
2024-04-02,Metro-North Railroad,206753,169955.35740860255,160794.51111111112,172517.5943958739
2024-04-03,Metro-North Railroad,195001,165208.97008154792,160843.54444444444,172394.06630046197
2024-04-04,Metro-North Railroad,201745,175205.61096437936,161158.9111111111,172464.83798122883
2024-04-05,Metro-North Railroad,202580,185377.38032110588,162488.8,172711.1400369518
2024-04-06,Metro-North Railroad,117095,183845.21551752364,163153.4111111111,173006.10860621423
2024-04-07,Metro-North Railroad,94103,176293.86240357003,162152.88888888888,172696.64713762965
2024-04-08,Metro-North Railroad,194106,173128.2601078532,162210.86666666667,173073.94937571895
2024-04-09,Metro-North Railroad,228390,182246.15736161952,162623.85555555555,173242.47283090503
2024-04-10,Metro-North Railroad,216591,180940.7550392767,162810.43333333332,173265.55739766406
2024-04-11,Metro-North Railroad,205013,175228.7499386636,163056.17777777778,173266.25654284877
2024-04-12,Metro-North Railroad,191755,173303.54152920248,164104.13333333333,173296.78825383144
2024-04-13,Metro-North Railroad,110542,170066.17542800595,164463.52222222224,173294.5430119622
2024-04-14,Metro-North Railroad,93633,169317.72554544453,164609.46666666667,173814.0739748746
2024-04-15,Metro-North Railroad,203835,175516.0492067899,164892.2,173879.75828142374
2024-04-16,Metro-North Railroad,220030,174794.6030180777,165114.9111111111,173959.4277743109
2024-04-17,Metro-North Railroad,214829,175714.63171040738,165310.15555555557,174033.94549297282
2024-04-18,Metro-North Railroad,203859,168418.82946919554,165669.8111111111,174069.69476483465
2024-04-19,Metro-North Railroad,205809,173600.40385904576,167036.38888888888,174183.90713192694
2024-04-20,Metro-North Railroad,123804,176038.7204739102,167668.04444444444,173908.5154484841
2024-04-21,Metro-North Railroad,98834,174482.57241311308,166708.63333333333,173694.43704099028
2024-04-22,Metro-North Railroad,206229,179226.86112469778,166718.95555555556,173803.93724269923
2024-04-23,Metro-North Railroad,221191,173771.7468912069,166932.53333333333,173849.01285863077
2024-04-24,Metro-North Railroad,215927,175625.69289073267,167114.38888888888,173857.97329724528
2024-04-25,Metro-North Railroad,217219,178308.0869787851,167477.8111111111,173917.13063231893
