Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
2023-05-01,NYCT,NYPD,Murder,2,0.01
2023-05-01,NYCT,NYPD,Rape,1,0.01
2023-05-01,NYCT,NYPD,Robbery,38,0.26
2023-05-01,NYCT,NYPD,Grand Larceny,94,0.65
2023-06-01,NYCT,NYPD,Burglary,0,0.0
2023-06-01,NYCT,NYPD,Felony Assault,54,0.4
2023-06-01,NYCT,NYPD,Murder,1,0.01
2023-06-01,NYCT,NYPD,Rape,1,0.01
2023-06-01,NYCT,NYPD,Robbery,40,0.3
2023-06-01,NYCT,NYPD,Grand Larceny,99,0.74
2023-07-01,NYCT,NYPD,Burglary,2,0.02
2023-07-01,NYCT,NYPD,Felony Assault,40,0.32
2023-07-01,NYCT,NYPD,Murder,0,0.0
2023-07-01,NYCT,NYPD,Rape,0,0.0
2023-07-01,NYCT,NYPD,Robbery,42,0.33
2023-07-01,NYCT,NYPD,Grand Larceny,88,0.7
2023-08-01,NYCT,NYPD,Burglary,1,0.01
2023-08-01,NYCT,NYPD,Felony Assault,42,0.32
2023-08-01,NYCT,NYPD,Murder,0,0.0
2023-08-01,NYCT,NYPD,Rape,0,0.0
2023-08-01,NYCT,NYPD,Robbery,47,0.36
2023-08-01,NYCT,NYPD,Grand Larceny,80,0.61
2023-09-01,NYCT,NYPD,Burglary,0,0.0
2023-09-01,NYCT,NYPD,Felony Assault,45,0.35
2023-09-01,NYCT,NYPD,Murder,0,0.0
2023-09-01,NYCT,NYPD,Rape,0,0.0
2023-09-01,NYCT,NYPD,Robbery,38,0.29
2023-09-01,NYCT,NYPD,Grand Larceny,92,0.71
2023-10-01,NYCT,NYPD,Burglary,2,0.01
2023-10-01,NYCT,NYPD,Felony Assault,54,0.38
2023-10-01,NYCT,NYPD,Murder,0,0.0
2023-10-01,NYCT,NYPD,Rape,0,0.0
2023-10-01,NYCT,NYPD,Robbery,45,0.32
2023-10-01,NYCT,NYPD,Grand Larceny,122,0.86
2023-11-01,NYCT,NYPD,Burglary,1,0.01
2023-11-01,NYCT,NYPD,Felony Assault,52,0.39
2023-11-01,NYCT,NYPD,Murder,0,0.0
2023-11-01,NYCT,NYPD,Rape,0,0.0
2023-11-01,NYCT,NYPD,Robbery,60,0.45
2023-11-01,NYCT,NYPD,Grand Larceny,115,0.87
2023-12-01,NYCT,NYPD,Burglary,2,0.02
