Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
3522,Karl Malone,40,1989-11-03,26-102,UTA,,DEN,W 122-113,*,40,18,25,.720,18,25,.720,0,0,,4,7,.571,.712,3,13,16,5,2,2,5,2,40,35.6,11.6,,F,malonka01
3523,Karl Malone,40,1990-01-17,26-177,UTA,,ATL,W 95-88,*,43,14,21,.667,14,20,.700,0,1,.000,12,14,.857,.736,2,7,9,1,1,2,2,4,40,33.1,14.0,,F,malonka01
3524,Karl Malone,40,1990-02-13,26-204,UTA,,MIN,W 110-104 (OT),*,48,15,24,.625,14,22,.636,1,2,.500,9,13,.692,.673,0,8,8,3,2,4,6,4,40,29.3,6.9,,F,malonka01
3525,Karl Malone,40,1990-03-09,26-228,UTA,@,MIL,W 108-100,*,40,13,25,.520,13,25,.520,0,0,,14,18,.778,.608,2,10,12,1,1,1,3,1,40,29.5,7.5,,F,malonka01
3526,Karl Malone,40,1991-01-02,27-162,UTA,,MIA,W 112-104,*,44,13,20,.650,13,19,.684,0,1,.000,14,17,.824,.728,4,9,13,1,2,0,1,2,40,36.4,12.0,,F,malonka01
3527,Karl Malone,40,1991-05-09,27-289,UTA,@,POR,L 116-118,*,43,10,18,.556,10,18,.556,0,0,,20,22,.909,.723,3,13,16,3,2,0,4,4,40,35.1,11.8,,F,malonka01
3528,Karl Malone,40,1992-03-12,28-232,UTA,@,SAC,W 114-103,*,43,14,22,.636,14,22,.636,0,0,,12,13,.923,.722,3,8,11,2,3,3,2,2,40,38.0,15.8,,F,malonka01
3529,Karl Malone,40,1993-02-01,29-192,UTA,,CHI,L 92-96,*,39,14,18,.778,14,17,.824,0,1,.000,12,15,.800,.813,3,6,9,4,1,2,3,2,40,37.1,22.1,,F,malonka01
3530,Karl Malone,40,1996-01-29,32-189,UTA,,DET,W 106-97,*,44,14,22,.636,14,21,.667,0,1,.000,12,16,.750,.689,0,10,10,2,4,0,2,5,40,33.0,10.0,,F,malonka01
3531,Karl Malone,40,1998-03-07,34-226,UTA,@,MIL,W 110-92,*,42,11,19,.579,11,19,.579,0,0,,18,19,.947,.731,0,8,8,5,3,1,6,4,40,32.7,13.2,23,F,malonka01
3532,Karl Malone,40,1999-11-20,36-119,UTA,@,MIL,W 111-100,*,35,17,25,.680,17,25,.680,0,0,,6,7,.857,.712,1,7,8,4,1,0,7,4,40,26.9,7.7,6,F,malonka01
3533,Karl Malone,40,2003-03-12,39-231,UTA,@,ORL,W 111-108,*,42,12,19,.632,12,19,.632,0,0,,16,22,.727,.697,0,9,9,7,4,0,1,2,40,38.9,17.7,2,F,malonka01
3534,Moses Malone,40,1980-01-08,24-291,HOU,@,CLE,W 118-115 (OT),*,45,18,32,.563,18,32,.563,0,0,,4,5,.800,.585,11,10,21,3,1,1,5,5,40,31.9,,,C-F,malonmo01
3535,Moses Malone,40,1980-11-28,25-250,HOU,@,SAS,W 124-115,*,40,14,21,.667,14,21,.667,0,0,,12,15,.800,.725,,,14,1,0,5,2,1,40,,,,C-F,malonmo01
3536,Moses Malone,40,1981-01-02,25-285,HOU,@,DAL,W 124-120 (OT),*,47,13,25,.520,13,25,.520,0,0,,14,19,.737,.600,,,15,0,1,1,2,3,40,,,,C-F,malonmo01
3537,Stephon Marbury,40,1999-02-17,21-362,MIN,,HOU,W 116-102,*,40,16,24,.667,16,23,.696,0,1,.000,8,11,.727,.693,0,4,4,12,2,0,0,1,40,39.6,19.0,24,G,marbust01
3538,Stephon Marbury,40,2003-04-06,26-045,PHO,@,LAL,L 113-115 (OT),*,49,15,30,.500,15,28,.536,0,2,.000,10,10,1.000,.581,5,3,8,8,3,0,6,3,40,30.8,9.3,2,G,marbust01
3539,Stephon Marbury,40,2003-12-29,26-312,PHO,@,LAC,W 113-105,*,42,15,23,.652,12,15,.800,3,8,.375,7,7,1.000,.767,1,3,4,9,5,0,2,1,40,40.4,23.2,8,G,marbust01
3540,Stephon Marbury,40,2007-03-06,30-014,NYK,,SEA,L 99-100,*,47,13,22,.591,5,11,.455,8,11,.727,6,7,.857,.797,0,1,1,3,0,0,2,1,40,29.4,9.9,2,G,marbust01
3541,Lauri Markkanen,40,2023-03-22,25-304,UTA,,POR,L 115-127,*,33,14,23,.609,10,11,.909,4,12,.333,8,9,.889,.742,1,11,12,3,0,0,4,2,40,30.4,10.9,-16,F-C,markkla01
3542,Kevin Martin,40,2006-12-21,23-323,SAC,,WAS,L 119-126,*,46,13,23,.565,9,13,.692,4,10,.400,10,11,.909,.718,1,3,4,4,1,1,2,3,40,31.6,8.4,-8,G,martike02
3543,Kevin Martin,40,2010-12-11,27-313,HOU,,CLE,W 110-95,*,34,12,19,.632,9,13,.692,3,6,.500,13,14,.929,.795,0,2,2,2,0,0,1,1,40,31.7,17.2,15,G,martike02
3544,Jamal Mashburn,40,2003-03-26,30-117,NOH,,ORL,L 95-97,*,42,14,27,.519,9,19,.474,5,8,.625,7,8,.875,.655,1,4,5,4,1,0,3,2,40,28.2,14.0,-3,F,mashbja01
3545,Tyrese Maxey,40,2024-12-16,24-042,PHI,@,CHO,W 121-108,*,40,12,28,.429,6,16,.375,6,12,.500,10,13,.769,.593,1,4,5,5,4,0,4,3,40,28.2,4.2,18,G,maxeyty01
3546,Tyrese Maxey,40,2025-10-22,24-352,PHI,@,BOS,W 117-116,*,41,13,24,.542,6,15,.400,7,9,.778,7,8,.875,.727,0,2,2,6,2,1,1,5,40,32.5,15.6,3,G,maxeyty01
3547,O.J. Mayo,40,2009-11-01,21-361,MEM,@,DEN,L 123-133,*,38,17,25,.680,13,17,.765,4,8,.500,2,2,1.000,.773,1,4,5,4,1,0,0,2,40,34.2,12.9,-4,G,mayooj01
3548,O.J. Mayo,40,2012-12-08,25-033,DAL,@,HOU,W 116-109,*,42,15,26,.577,9,17,.529,6,9,.667,4,4,1.000,.720,1,7,8,3,2,0,2,2,40,31.9,13.8,20,G,mayooj01
3549,CJ McCollum,40,2018-11-06,27-048,POR,,MIL,W 118-103,*,36,17,26,.654,12,16,.750,5,10,.500,1,2,.500,.744,2,2,4,6,4,0,2,4,40,34.8,21.8,10,G,mccolcj01
3550,CJ McCollum,40,2018-12-12,27-084,POR,@,MEM,L 83-92,*,39,16,27,.593,14,22,.636,2,5,.400,6,7,.857,.665,0,5,5,2,1,1,4,5,40,25.7,11.8,-2,G,mccolcj01
3551,CJ McCollum,40,2022-12-22,31-094,NOP,,SAS,W 126-117,*,37,14,27,.519,7,13,.538,7,14,.500,5,5,1.000,.685,1,7,8,9,1,2,5,1,40,32.8,14.0,23,G,mccolcj01
3552,CJ McCollum,40,2025-03-23,33-185,NOP,@,DET,L 130-136,*,37,16,28,.571,11,16,.688,5,12,.417,3,5,.600,.662,1,4,5,7,1,0,2,2,40,31.0,3.2,3,G,mccolcj01
3553,Xavier McDaniel,40,1987-03-23,23-292,SEA,@,NYK,W 126-121 (OT),*,48,14,26,.538,14,26,.538,0,0,,12,16,.750,.605,5,4,9,3,2,0,2,3,40,31.4,3.7,,F,mcdanxa01
3554,Antonio McDyess,40,2000-01-20,25-135,DEN,@,HOU,L 115-122,*,41,15,25,.600,15,25,.600,0,0,,10,11,.909,.670,7,5,12,2,0,2,3,2,40,33.5,8.6,-4,F-C,mcdyean01
3555,Antonio McDyess,40,2000-11-30,26-084,DEN,,HOU,L 105-109 (OT),*,50,15,28,.536,15,28,.536,0,0,,10,12,.833,.601,9,11,20,3,1,4,3,1,40,37.7,13.2,-2,F-C,mcdyean01
3556,Tracy McGrady,40,2000-12-02,21-192,ORL,@,NJN,W 95-74,*,42,18,32,.563,18,31,.581,0,1,.000,4,4,1.000,.592,5,5,10,5,3,3,3,3,40,34.2,20.4,27,G-F,mcgratr01
3557,Tracy McGrady,40,2001-12-08,22-198,ORL,@,ATL,L 104-107,*,42,11,22,.500,8,18,.444,3,4,.750,15,18,.833,.668,3,8,11,4,3,0,7,3,40,29.9,9.9,-2,G-F,mcgratr01
3558,Tracy McGrady,40,2001-12-13,22-203,ORL,@,GSW,W 105-100,*,36,19,30,.633,18,27,.667,1,3,.333,1,3,.333,.639,2,5,7,4,0,0,1,1,40,30.1,14.9,-1,G-F,mcgratr01
3559,Tracy McGrady,40,2003-01-03,23-224,ORL,@,NOH,L 89-100,*,41,14,29,.483,11,24,.458,3,5,.600,9,10,.900,.599,1,4,5,4,2,1,3,2,40,28.5,15.1,-9,G-F,mcgratr01
3560,Tracy McGrady,40,2004-03-13,24-294,ORL,,SEA,L 101-115,*,41,12,29,.414,9,19,.474,3,10,.300,13,13,1.000,.576,2,4,6,3,5,1,1,1,40,33.5,18.3,-10,G-F,mcgratr01
3561,Tracy McGrady,40,2005-02-04,25-256,HOU,@,MIN,W 119-113 (OT),*,48,11,26,.423,7,21,.333,4,5,.800,14,18,.778,.590,2,11,13,4,1,0,0,2,40,32.3,11.9,10,G-F,mcgratr01
3562,Tracy McGrady,40,2007-04-08,27-319,HOU,@,SAC,W 112-106,*,40,14,28,.500,11,22,.500,3,6,.500,9,12,.750,.601,2,6,8,10,2,1,6,2,40,30.9,10.1,6,G-F,mcgratr01
3563,Tracy McGrady,40,2007-12-01,28-191,HOU,@,SAC,L 99-107,*,41,14,30,.467,9,20,.450,5,10,.500,7,8,.875,.597,0,5,5,4,1,0,5,1,40,24.1,8.5,-13,G-F,mcgratr01
3564,Tracy McGrady,40,2008-05-02,28-344,HOU,@,UTA,L 91-113,*,42,13,26,.500,11,19,.579,2,7,.286,12,18,.667,.590,1,9,10,5,0,1,1,1,40,30.8,16.0,-17,G-F,mcgratr01
3565,Khris Middleton,40,2017-11-22,26-102,MIL,@,PHO,W 113-107 (OT),*,46,14,26,.538,11,17,.647,3,9,.333,9,11,.818,.649,1,8,9,3,4,0,3,3,40,31.6,9.9,8,F-G,middlkh01
3566,Khris Middleton,40,2020-02-24,28-196,MIL,@,WAS,W 137-134 (OT),*,41,15,28,.536,13,20,.650,2,8,.250,8,8,1.000,.635,0,5,5,5,3,0,2,3,40,31.2,4.2,6,F-G,middlkh01
3567,Khris Middleton,40,2021-07-14,29-336,MIL,,PHO,W 109-103,*,43,15,33,.455,12,25,.480,3,8,.375,7,8,.875,.548,0,6,6,4,2,0,1,1,40,27.7,10.2,10,F-G,middlkh01
3568,C.J. Miles,40,2011-03-16,23-363,UTA,,MIN,W 119-104,*,32,14,18,.778,8,11,.727,6,7,.857,6,7,.857,.949,1,3,4,2,0,0,1,4,40,33.0,21.0,17,G-F,milescj01
3569,Reggie Miller,40,1991-03-02,25-190,IND,,CHI,W 135-114,*,36,14,20,.700,13,14,.929,1,6,.167,11,13,.846,.778,2,0,2,5,4,0,1,1,40,38.3,17.4,,G-F,millere01
3570,Reggie Miller,40,1995-03-15,29-203,IND,,MIL,W 117-108,*,36,12,15,.800,6,7,.857,6,8,.750,10,12,.833,.986,1,5,6,1,1,0,1,1,40,36.0,22.1,,G-F,millere01
3571,Reggie Miller,40,1996-01-23,30-152,IND,,PHO,W 117-102,*,33,12,16,.750,6,8,.750,6,8,.750,10,12,.833,.940,1,3,4,1,0,0,2,2,40,32.3,23.2,,G-F,millere01
3572,Reggie Miller,40,1996-04-06,30-226,IND,,MIA,W 99-95,*,40,14,26,.538,11,20,.550,3,6,.500,9,9,1.000,.668,0,3,3,4,0,0,2,3,40,27.9,13.1,,G-F,millere01
3573,Reggie Miller,40,1997-01-29,31-158,IND,@,CHH,W 106-95,*,35,14,22,.636,8,13,.615,6,9,.667,6,7,.857,.797,1,2,3,2,0,0,0,2,40,31.7,21.9,8,G-F,millere01
3574,Reggie Miller,40,2000-05-06,34-256,IND,,PHI,W 108-91,*,40,11,18,.611,4,8,.500,7,10,.700,11,12,.917,.859,1,0,1,0,2,1,2,0,40,32.8,18.3,27,G-F,millere01
3575,Yao Ming,40,2004-12-20,24-099,HOU,,TOR,W 114-102,*,33,13,16,.813,13,16,.813,0,0,,14,18,.778,.836,4,6,10,1,0,1,2,4,40,34.8,17.4,13,C,mingya01
3576,Donovan Mitchell,40,2018-02-02,21-148,UTA,@,PHO,W 129-97,*,33,14,19,.737,7,10,.700,7,9,.778,5,5,1.000,.943,1,4,5,6,2,0,2,0,40,38.4,26.5,36,G,mitchdo01
3577,Donovan Mitchell,40,2023-03-06,26-180,CLE,,BOS,W 118-114 (OT),*,47,14,34,.412,10,23,.435,4,11,.364,8,8,1.000,.533,4,7,11,4,0,1,3,2,40,26.4,5.0,3,G,mitchdo01
3578,Donovan Mitchell,40,2023-04-02,26-207,CLE,,IND,W 115-105,*,40,14,25,.560,11,16,.688,3,9,.333,9,12,.750,.661,0,6,6,1,3,0,5,4,40,25.8,5.8,16,G,mitchdo01
3579,Donovan Mitchell,40,2023-11-28,27-082,CLE,,ATL,W 128-105,*,35,14,25,.560,11,14,.786,3,11,.273,9,9,1.000,.691,2,9,11,5,3,1,6,3,40,32.2,10.9,29,G,mitchdo01
3580,Donovan Mitchell,40,2024-02-07,27-153,CLE,@,WAS,W 114-106,*,38,14,25,.560,9,15,.600,5,10,.500,7,7,1.000,.712,0,8,8,5,1,0,5,1,40,29.6,10.9,0,G,mitchdo01
3581,Mike Mitchell,40,1980-02-13,24-043,CLE,@,DET,W 107-102,*,43,17,28,.607,17,28,.607,0,0,,6,10,.600,.617,5,2,7,1,0,3,1,3,40,30.3,,,F,mitchmi01
3582,Mike Mitchell,40,1982-04-07,26-096,SAS,,KCK,W 118-113,*,42,14,27,.519,14,27,.519,0,0,,12,14,.857,.603,,,10,3,2,1,2,2,40,,,,F,mitchmi01
3583,Mike Mitchell,40,1985-02-01,29-031,SAS,@,POR,W 104-93,*,44,18,30,.600,18,29,.621,0,1,.000,4,4,1.000,.630,3,2,5,3,4,0,2,2,40,32.2,16.1,,F,mitchmi01
3584,Mike Mitchell,40,1986-04-13,30-102,SAS,,POR,W 123-118,*,38,19,29,.655,19,29,.655,0,0,,2,2,1.000,.669,3,1,4,5,2,0,2,2,40,32.4,9.9,,F,mitchmi01
3585,Cuttino Mobley,40,2002-02-23,26-175,HOU,,BOS,W 99-89,*,42,13,26,.500,9,15,.600,4,11,.364,10,10,1.000,.658,2,5,7,1,3,1,4,1,40,29.9,12.5,6,G,moblecu01
3586,Ja Morant,40,2021-10-24,22-075,MEM,@,LAL,L 118-121,*,38,13,21,.619,8,14,.571,5,7,.714,9,11,.818,.774,2,1,3,10,3,0,6,3,40,34.2,18.6,9,G,moranja01
3587,Alonzo Mourning,40,1996-03-12,26-033,MIA,@,DAL,W 125-118,*,40,14,19,.737,14,19,.737,0,0,,12,20,.600,.719,3,10,13,3,0,4,4,6,40,32.7,8.1,,C-F,mournal01
3588,Chris Mullin,40,1990-11-09,27-102,GSW,,ATL,W 143-128,*,41,14,17,.824,14,16,.875,0,1,.000,12,15,.800,.847,2,2,4,5,3,3,3,1,40,39.7,17.2,,F-G,mullich01
3589,Chris Mullin,40,1991-12-20,28-143,GSW,,POR,W 123-118,*,47,15,28,.536,15,23,.652,0,5,.000,10,11,.909,.609,0,5,5,3,3,1,7,2,40,25.5,2.5,,F-G,mullich01
3590,Trey Murphy III,40,2025-01-31,24-227,NOP,,BOS,L 116-118,*,39,15,20,.750,7,8,.875,8,12,.667,2,3,.667,.938,0,5,5,4,1,0,4,5,40,30.9,17.3,3,F,murphtr02
3591,Dejounte Murray,40,2023-01-30,26-133,ATL,@,POR,L 125-129,*,38,13,25,.520,8,17,.471,5,8,.625,9,9,1.000,.691,3,5,8,7,2,0,0,1,40,37.8,18.9,-4,G,murrade01
3592,Dejounte Murray,40,2024-03-13,27-176,ATL,@,POR,L 102-106,*,43,15,29,.517,9,16,.563,6,13,.462,4,5,.800,.641,1,3,4,3,2,1,5,5,40,24.7,6.0,-13,G,murrade01
3593,Jamal Murray,40,2020-09-15,23-205,DEN,@,LAC,W 104-89,*,45,15,26,.577,9,13,.692,6,13,.462,4,4,1.000,.720,0,4,4,5,1,0,5,1,40,28.1,11.2,15,G,murraja01
3594,Jamal Murray,40,2023-04-19,26-055,DEN,,MIN,W 122-113,*,39,13,22,.591,7,12,.583,6,10,.600,8,9,.889,.770,0,3,3,5,2,0,4,3,40,30.6,13.2,1,G,murraja01
3595,Lamond Murray,40,2002-01-02,28-257,CLE,,GSW,W 113-98,*,38,16,23,.696,13,18,.722,3,5,.600,5,5,1.000,.794,0,4,4,4,0,0,2,3,40,31.1,12.4,21,F,murrala01
3596,Tracy Murray,40,1996-03-18,24-237,TOR,,DEN,L 114-122,*,43,15,25,.600,9,13,.692,6,12,.500,4,4,1.000,.747,3,1,4,1,2,1,2,5,40,30.3,9.4,,F,murratr01
3597,Larry Nance,40,1984-11-21,25-283,PHO,,LAL,L 97-102,*,43,19,23,.826,19,23,.826,0,0,,2,5,.400,.794,5,8,13,3,1,1,4,1,40,35.6,14.4,,F-C,nancela01
3598,Calvin Natt,40,1986-04-18,29-100,DEN,,POR,W 133-126,*,38,15,21,.714,15,21,.714,0,0,,10,11,.909,.774,2,8,10,3,1,0,2,2,40,35.0,11.6,,F,nattca01
3599,Mike Newlin,40,1980-02-08,31-037,NJN,,LAL,L 120-125 (OT),*,48,15,32,.469,14,28,.500,1,4,.250,9,10,.900,.549,4,1,5,8,5,0,2,2,40,34.1,,,G-F,newlimi01
3600,Mike Newlin,40,1980-02-29,31-058,NJN,@,DET,L 128-137 (OT),*,,13,,,13,,,0,,,14,17,.824,,,,,,,,,,40,,,,G-F,newlimi01
3601,Johnny Newman,40,1991-01-19,27-052,CHH,@,DAL,L 95-110,*,43,11,18,.611,11,17,.647,0,1,.000,18,22,.818,.723,2,3,5,0,2,0,0,3,40,33.3,10.7,,F-G,newmajo01
3602,Dirk Nowitzki,40,2002-01-15,23-210,DAL,@,ATL,W 116-107,*,48,12,22,.545,6,7,.857,6,15,.400,10,13,.769,.722,0,11,11,1,1,1,0,2,40,33.1,8.4,9,F-C,nowitdi01
3603,Dirk Nowitzki,40,2002-12-30,24-194,DAL,,MIL,L 107-110,*,48,12,25,.480,10,19,.526,2,6,.333,14,16,.875,.624,4,10,14,5,2,1,2,1,40,36.1,13.9,-3,F-C,nowitdi01
3604,Dirk Nowitzki,40,2004-02-07,25-233,DAL,,DET,W 111-108,*,42,15,24,.625,12,20,.600,3,4,.750,7,8,.875,.727,0,8,8,3,4,1,2,3,40,34.8,13.9,10,F-C,nowitdi01
3605,Dirk Nowitzki,40,2009-11-03,31-137,DAL,,UTA,W 96-85,*,39,12,22,.545,11,19,.579,1,3,.333,15,16,.938,.689,2,9,11,5,2,5,0,2,40,41.3,30.6,23,F-C,nowitdi01
3606,Dirk Nowitzki,40,2010-04-09,31-294,DAL,@,POR,W 83-77,*,42,11,24,.458,10,22,.455,1,2,.500,17,17,1.000,.635,2,8,10,0,1,0,3,2,40,28.6,14.9,0,F-C,nowitdi01
3607,Dirk Nowitzki,40,2011-05-23,32-338,DAL,@,OKC,W 112-105 (OT),*,45,12,20,.600,10,17,.588,2,3,.667,14,15,.933,.752,0,5,5,3,0,0,4,2,40,29.2,10.1,9,F-C,nowitdi01
3608,Dirk Nowitzki,40,2012-03-03,33-258,DAL,,UTA,W 102-96,*,29,14,21,.667,11,13,.846,3,8,.375,9,10,.900,.787,1,5,6,0,1,0,4,2,40,28.9,15.1,8,F-C,nowitdi01
3609,Dirk Nowitzki,40,2012-04-16,33-302,DAL,@,UTA,L 121-123 (3OT),*,53,13,26,.500,11,19,.579,2,7,.286,12,12,1.000,.639,1,8,9,6,0,0,3,4,40,29.7,7.8,8,F-C,nowitdi01
3610,Dirk Nowitzki,40,2014-01-11,35-206,DAL,,NOP,W 110-107,*,33,10,20,.500,5,11,.455,5,9,.556,15,16,.938,.740,0,4,4,4,2,0,1,2,40,33.8,19.5,11,F-C,nowitdi01
3611,Dirk Nowitzki,40,2016-03-20,37-275,DAL,,POR,W 132-120 (OT),*,39,16,26,.615,13,21,.619,3,5,.600,5,5,1.000,.709,0,8,8,4,2,0,2,5,40,31.4,8.7,7,F-C,nowitdi01
3612,Victor Oladipo,40,2022-04-10,29-341,MIA,@,ORL,L 111-125,*,36,13,22,.591,8,11,.727,5,11,.455,9,11,.818,.745,1,9,10,7,2,0,4,2,40,34.5,15.6,-4,G,oladivi01
3613,Hakeem Olajuwon,40,1986-05-16,23-115,HOU,,LAL,W 117-109,*,46,14,28,.500,14,28,.500,0,0,,12,15,.800,.578,5,7,12,3,2,2,2,5,40,31.9,8.2,,C,olajuha01
3614,Hakeem Olajuwon,40,1988-05-05,25-105,HOU,,DAL,L 97-107,*,44,16,24,.667,16,23,.696,0,1,.000,8,8,1.000,.727,3,12,15,3,2,1,1,3,40,37.9,18.5,,C,olajuha01
3615,Hakeem Olajuwon,40,1989-03-14,26-052,HOU,@,SAC,L 90-95,*,42,14,28,.500,14,28,.500,0,0,,12,16,.750,.571,8,16,24,4,1,4,4,2,40,36.6,18.4,,C,olajuha01
3616,Hakeem Olajuwon,40,1992-02-11,29-021,HOU,@,SEA,L 99-105,*,42,16,22,.727,16,22,.727,0,0,,8,8,1.000,.784,10,9,19,0,1,4,2,4,40,40.9,21.4,,C,olajuha01
3617,Hakeem Olajuwon,40,1993-01-03,29-348,HOU,@,POR,L 101-103 (OT),*,44,16,22,.727,16,22,.727,0,0,,8,10,.800,.758,1,8,9,3,1,10,4,6,40,37.0,20.5,,C,olajuha01
3618,Hakeem Olajuwon,40,1994-01-22,31-001,HOU,,UTA,W 106-101,*,46,13,25,.520,13,24,.542,0,1,.000,14,19,.737,.600,1,9,10,3,2,3,4,3,40,30.1,6.4,,C,olajuha01
3619,Hakeem Olajuwon,40,1995-03-07,32-045,HOU,,PHO,L 102-113,*,38,16,23,.696,16,23,.696,0,0,,8,10,.800,.730,4,9,13,5,1,1,2,6,40,35.8,19.4,,C,olajuha01
3620,Hakeem Olajuwon,40,1995-05-05,32-104,HOU,,UTA,W 123-106,*,38,14,22,.636,14,22,.636,0,0,,12,15,.800,.699,2,6,8,3,0,1,2,5,40,31.0,7.3,,C,olajuha01
3621,Hakeem Olajuwon,40,1996-02-19,33-029,HOU,,SAC,W 118-111 (OT),*,46,17,35,.486,17,35,.486,0,0,,6,8,.750,.519,3,10,13,4,1,4,2,3,40,30.0,3.2,,C,olajuha01
3622,Shaquille O'Neal,40,1994-01-19,21-319,ORL,,LAC,W 108-96,*,47,17,27,.630,17,27,.630,0,0,,6,11,.545,.628,8,11,19,1,0,4,3,2,40,34.5,11.4,,C,onealsh01
3623,Shaquille O'Neal,40,1994-03-09,22-003,ORL,@,PHI,W 117-101,*,35,14,21,.667,14,21,.667,0,0,,12,17,.706,.702,8,6,14,1,1,3,4,1,40,35.7,12.3,,C,onealsh01
3624,Shaquille O'Neal,40,1994-04-08,22-033,ORL,,DET,W 117-103,*,42,14,22,.636,14,22,.636,0,0,,12,12,1.000,.733,6,10,16,3,0,3,3,1,40,38.2,13.1,,C,onealsh01
3625,Shaquille O'Neal,40,1994-12-16,22-285,ORL,@,GSW,W 131-128 (OT),*,45,15,20,.750,15,20,.750,0,0,,10,21,.476,.684,4,14,18,2,1,2,2,2,40,35.6,5.7,,C,onealsh01
3626,Shaquille O'Neal,40,1995-04-05,23-030,ORL,,DET,W 128-125,*,39,15,26,.577,15,26,.577,0,0,,10,22,.455,.561,9,10,19,4,0,2,0,1,40,36.1,9.9,,C,onealsh01
3627,Shaquille O'Neal,40,2000-01-05,27-305,LAL,,LAC,W 118-101,*,35,17,24,.708,17,24,.708,0,0,,6,9,.667,.715,3,16,19,1,1,2,2,4,40,35.2,16.8,8,C,onealsh01
3628,Shaquille O'Neal,40,2000-03-13,28-007,LAL,@,DEN,W 118-108,*,44,14,20,.700,14,20,.700,0,0,,12,16,.750,.740,3,6,9,7,0,1,4,3,40,34.3,13.4,13,C,onealsh01
3629,Shaquille O'Neal,40,2000-03-16,28-010,LAL,@,WAS,L 102-109,*,38,15,25,.600,15,25,.600,0,0,,10,16,.625,.624,7,5,12,2,0,2,3,5,40,30.3,8.7,-16,C,onealsh01
3630,Shaquille O'Neal,40,2000-03-24,28-018,LAL,,PHO,W 109-101,*,43,15,29,.517,15,29,.517,0,0,,10,13,.769,.576,6,8,14,5,3,0,1,3,40,35.4,12.9,3,C,onealsh01
3631,Shaquille O'Neal,40,2000-06-09,28-095,LAL,,IND,W 111-104,*,45,11,18,.611,11,18,.611,0,0,,18,39,.462,.569,5,19,24,4,0,3,2,5,40,33.5,10.2,14,C,onealsh01
3632,Shaquille O'Neal,40,2001-03-23,29-017,LAL,,WAS,W 104-91,*,38,15,25,.600,15,25,.600,0,0,,10,13,.769,.651,6,11,17,8,3,5,3,3,40,42.7,28.7,13,C,onealsh01
3633,Shaquille O'Neal,40,2002-01-22,29-322,LAL,,DEN,L 91-107,*,39,17,22,.773,17,22,.773,0,0,,6,9,.667,.770,5,6,11,5,1,2,1,1,40,40.0,25.9,-6,C,onealsh01
3634,Shaquille O'Neal,40,2002-03-05,29-364,LAL,,NJN,W 101-92,*,38,16,21,.762,16,21,.762,0,0,,8,20,.400,.671,3,9,12,4,1,1,4,4,40,30.6,15.0,13,C,onealsh01
3635,Shaquille O'Neal,40,2002-03-10,30-004,LAL,,NYK,W 117-103,*,41,15,21,.714,15,21,.714,0,0,,10,19,.526,.681,4,4,8,3,1,3,2,0,40,34.9,14.3,7,C,onealsh01
3636,Shaquille O'Neal,40,2002-03-14,30-008,LAL,@,GSW,W 110-102,*,43,13,20,.650,13,20,.650,0,0,,14,28,.500,.619,4,9,13,0,1,2,6,5,40,25.5,3.8,14,C,onealsh01
3637,Shaquille O'Neal,40,2002-04-07,30-032,LAL,@,MIA,W 96-88,*,41,14,22,.636,14,22,.636,0,0,,12,19,.632,.659,3,8,11,2,0,2,2,4,40,31.1,12.1,10,C,onealsh01
3638,Shaquille O'Neal,40,2002-06-07,30-093,LAL,,NJN,W 106-83,*,41,14,23,.609,14,23,.609,0,0,,12,14,.857,.686,3,9,12,8,0,1,4,2,40,35.0,18.2,35,C,onealsh01
3639,Shaquille O'Neal,40,2003-03-07,31-001,LAL,,MIN,W 106-96,*,41,16,25,.640,16,25,.640,0,0,,8,14,.571,.642,5,9,14,4,1,5,1,4,40,37.4,20.7,15,C,onealsh01
3640,Shaquille O'Neal,40,2004-12-13,32-282,MIA,,WAS,W 106-83,*,38,15,23,.652,15,23,.652,0,0,,10,16,.625,.666,6,6,12,3,0,5,1,3,40,36.9,20.5,24,C,onealsh01
3641,Kelly Oubre Jr.,40,2021-02-04,25-057,GSW,@,DAL,W 147-116,*,36,14,21,.667,7,11,.636,7,10,.700,5,6,.833,.846,1,7,8,2,1,1,2,3,40,33.2,10.3,18,F,oubreke01
3642,Robert Parish,40,1981-02-17,27-171,BOS,@,SAS,W 128-116,*,33,15,23,.652,15,23,.652,0,0,,10,15,.667,.676,4,9,13,1,0,1,2,2,40,32.0,,,C,parisro01
3643,Chris Paul,40,2007-12-26,22-234,NOH,@,MEM,W 116-98,*,36,17,25,.680,12,17,.706,5,8,.625,1,1,1.000,.786,0,5,5,9,5,0,1,3,40,39.9,26.4,16,G,paulch01
3644,Chris Paul,40,2016-02-26,30-296,LAC,@,SAC,W 117-107,*,36,13,20,.650,9,11,.818,4,9,.444,10,10,1.000,.820,1,7,8,13,2,0,2,1,40,42.7,29.9,14,G,paulch01
3645,Jim Paxson,40,1985-01-15,27-190,POR,,HOU,W 121-117,*,37,16,18,.889,15,16,.938,1,2,.500,7,8,.875,.929,0,1,1,5,3,0,1,2,40,38.4,21.7,,G-F,paxsoji02
