Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
225,Charles Smith,52,1990-12-01,25-138,LAC,@,DEN,W 137-121,*,37,17,27,.630,17,27,.630,0,0,,18,21,.857,.717,1,5,6,2,3,2,4,2,52,41.9,13.6,,F-C,smithch01
226,Isaiah Thomas,52,2016-12-30,27-327,BOS,,MIA,W 117-114,*,37,15,26,.577,6,13,.462,9,13,.692,13,13,1.000,.820,1,1,2,0,1,0,2,2,52,39.0,15.0,10,G,thomais02
227,Klay Thompson,52,2015-01-23,24-349,GSW,,SAC,W 126-101,*,33,16,25,.640,5,10,.500,11,15,.733,9,10,.900,.884,0,2,2,5,4,2,4,3,52,44.8,35.0,38,G-F,thompkl01
228,Klay Thompson,52,2018-10-29,28-263,GSW,@,CHI,W 149-124,*,27,18,29,.621,4,5,.800,14,24,.583,2,2,1.000,.870,0,4,4,0,2,0,2,2,52,39.3,24.5,28,G-F,thompkl01
229,Kemba Walker,52,2016-01-18,25-255,CHO,,UTA,W 124-119 (2OT),*,47,16,33,.485,10,22,.455,6,11,.545,14,15,.933,.657,1,8,9,8,2,0,3,3,52,41.4,16.7,4,G,walkeke02
230,John Wall,52,2016-12-06,26-091,WAS,,ORL,L 116-124,*,42,18,31,.581,13,23,.565,5,8,.625,11,14,.786,.700,1,3,4,8,3,0,4,3,52,41.3,18.0,-1,G,walljo01
231,Dominique Wilkins,52,1991-12-07,31-329,ATL,,NYK,L 128-137 (2OT),*,52,17,30,.567,15,28,.536,2,2,1.000,16,18,.889,.686,0,5,5,3,1,0,7,2,52,33.8,7.0,,F-G,wilkido01
232,Mo Williams,52,2015-01-13,32-025,MIN,@,IND,W 110-101,*,44,19,33,.576,13,22,.591,6,11,.545,8,9,.889,.703,0,4,4,7,0,0,3,2,52,38.4,13.2,14,G,willima01
233,Ray Williams,52,1982-04-17,27-185,NJN,@,DET,W 147-132,*,43,21,34,.618,20,33,.606,1,1,1.000,9,11,.818,.669,,,4,7,,,,5,52,,,,G,willira01
234,Mahmoud Abdul-Rauf,51,1995-12-07,26-273,DEN,@,UTA,W 124-119,*,41,17,27,.630,8,13,.615,9,14,.643,8,8,1.000,.836,0,2,2,2,2,0,2,2,51,40.1,15.4,,G,abdulma02
235,Ray Allen,51,2009-04-30,33-284,BOS,@,CHI,L 127-128 (3OT),*,59,18,32,.563,9,14,.643,9,18,.500,6,7,.857,.727,2,3,5,3,3,0,3,1,51,39.4,17.4,1,G,allenra02
236,Gilbert Arenas,51,2007-01-15,25-009,WAS,,UTA,W 114-111,*,41,14,29,.483,7,17,.412,7,12,.583,16,17,.941,.699,1,2,3,5,1,0,1,3,51,39.5,19.3,10,G,arenagi01
237,Bradley Beal,51,2017-12-05,24-160,WAS,@,POR,W 106-92,*,43,21,37,.568,16,25,.640,5,12,.417,4,5,.800,.651,1,2,3,2,0,0,2,2,51,33.0,9.3,12,G,bealbr01
238,Saddiq Bey,51,2022-03-17,22-342,DET,@,ORL,W 134-120,*,39,17,27,.630,7,13,.538,10,14,.714,7,10,.700,.812,0,9,9,4,3,0,1,1,51,44.8,19.8,11,F,beysa01
239,Devin Booker,51,2022-11-30,26-031,PHO,,CHI,W 132-113,*,31,20,25,.800,14,18,.778,6,7,.857,5,6,.833,.923,0,4,4,6,1,0,2,3,51,44.3,32.9,23,G,bookede01
240,Corey Brewer,51,2014-04-11,28-037,MIN,,HOU,W 112-110,*,45,19,30,.633,17,24,.708,2,6,.333,11,15,.733,.697,1,1,2,1,6,1,2,4,51,40.8,18.0,5,F-G,breweco01
241,Kobe Bryant,51,2000-12-06,22-105,LAL,@,GSW,L 122-125 (OT),*,51,18,35,.514,16,28,.571,2,7,.286,13,13,1.000,.626,3,4,7,8,2,1,8,4,51,35.7,3.2,-2,G-F,bryanko01
242,Kobe Bryant,51,2003-02-12,24-173,LAL,@,DEN,W 113-102,*,31,15,28,.536,12,20,.600,3,8,.375,18,20,.900,.693,0,3,3,2,2,0,0,1,51,40.5,23.9,37,G-F,bryanko01
243,Kobe Bryant,51,2006-01-19,27-149,LAL,@,SAC,L 109-118 (OT),*,44,17,35,.486,13,23,.565,4,12,.333,13,13,1.000,.626,0,9,9,4,1,0,4,2,51,35.0,13.4,-13,G-F,bryanko01
244,Kobe Bryant,51,2006-04-07,27-227,LAL,@,PHO,L 96-107,*,42,19,33,.576,14,22,.636,5,11,.455,8,10,.800,.682,0,5,5,3,1,0,2,3,51,36.1,17.5,-6,G-F,bryanko01
245,Vince Carter,51,2000-02-27,23-032,TOR,,PHO,W 103-102,*,43,17,32,.531,13,24,.542,4,8,.500,13,13,1.000,.676,5,4,9,1,3,0,5,5,51,36.8,14.6,5,G-F,cartevi01
246,Vince Carter,51,2005-12-23,28-331,NJN,@,MIA,W 95-88,*,44,13,25,.520,11,20,.550,2,5,.400,23,24,.958,.717,2,6,8,4,0,0,2,3,51,41.1,20.8,16,G-F,cartevi01
247,Jamal Crawford,51,2019-04-09,39-020,PHO,@,DAL,L 109-120,,38,18,30,.600,11,17,.647,7,13,.538,8,9,.889,.751,0,5,5,5,1,1,4,4,51,37.9,14.5,-5,G,crawfja01
248,Stephen Curry,51,2015-02-04,26-327,GSW,,DAL,W 128-114,*,37,16,26,.615,6,10,.600,10,16,.625,9,11,.818,.827,0,4,4,4,1,0,3,3,51,39.2,19.5,0,G,curryst01
249,Stephen Curry,51,2016-02-03,27-326,GSW,@,WAS,W 134-121,*,36,19,28,.679,8,13,.615,11,15,.733,2,3,.667,.870,1,6,7,2,3,0,7,3,51,37.3,17.6,20,G,curryst01
250,Stephen Curry,51,2016-02-25,27-348,GSW,@,ORL,W 130-114,*,34,20,27,.741,10,12,.833,10,15,.667,1,1,1.000,.929,0,7,7,8,0,1,5,1,51,43.1,24.9,11,G,curryst01
251,Stephen Curry,51,2018-10-24,30-224,GSW,,WAS,W 144-122,*,32,15,24,.625,4,8,.500,11,16,.688,10,10,1.000,.898,0,4,4,3,0,1,2,1,51,41.8,23.0,19,G,curryst01
252,Adrian Dantley,51,1981-01-07,25-314,UTA,@,DEN,W 121-117,*,45,20,25,.800,20,25,.800,0,0,,11,11,1.000,.855,2,3,5,7,2,0,3,1,51,47.3,,,F-G,dantlad01
253,Luka Dončić,51,2022-02-10,22-347,DAL,,LAC,W 112-105,*,40,17,26,.654,10,12,.833,7,14,.500,10,14,.714,.793,0,9,9,6,1,1,7,4,51,38.0,19.6,9,G-F,doncilu01
254,Luka Dončić,51,2022-12-31,23-306,DAL,@,SAS,W 126-125,*,37,18,29,.621,12,19,.632,6,10,.600,9,15,.600,.716,1,5,6,9,4,1,0,3,51,47.5,27.7,7,G-F,doncilu01
