Season,Team Name,3PA/G,W/L%,average
2014,Oklahoma City Thunder,22.7,0.549,False
2010,Phoenix Suns,22.6,0.488,False
2016,Phoenix Suns,22.6,0.293,False
2014,San Antonio Spurs,22.5,0.671,False
2013,Philadelphia 76ers,22.5,0.232,False
2017,Minnesota Timberwolves,22.5,0.573,False
2010,Houston Rockets,22.5,0.524,False
2011,New Jersey Nets,22.4,0.333,False
2015,Sacramento Kings,22.4,0.402,False
2013,Oklahoma City Thunder,22.4,0.72,False
1996,Houston Rockets,22.4,0.695,False
2009,Houston Rockets,22.4,0.512,False
1996,Atlanta Hawks,22.4,0.683,False
2005,Golden State Warriors,22.3,0.415,False
2016,Chicago Bulls,22.3,0.5,False
2013,Miami Heat,22.3,0.659,False
2014,Chicago Bulls,22.3,0.61,False
2004,Seattle SuperSonics,22.2,0.634,False
2011,Dallas Mavericks,22.2,0.545,False
2015,Orlando Magic,22.2,0.427,False
2009,Milwaukee Bucks,22.1,0.561,False
2004,Los Angeles Lakers,22.1,0.415,False
2012,Miami Heat,22.1,0.805,False
2011,Los Angeles Clippers,21.8,0.606,False
2014,Utah Jazz,21.7,0.463,False
2007,Memphis Grizzlies,21.7,0.268,False
2004,Golden State Warriors,21.6,0.415,False
2009,Phoenix Suns,21.6,0.659,False
2010,Dallas Mavericks,21.6,0.695,False
2011,Minnesota Timberwolves,21.6,0.394,False
2012,San Antonio Spurs,21.5,0.707,False
2007,Phoenix Suns,21.5,0.671,False
2015,New York Knicks,21.5,0.39,False
1995,Houston Rockets,21.5,0.585,False
2012,Brooklyn Nets,21.5,0.598,False
2013,Minnesota Timberwolves,21.4,0.488,False
2013,San Antonio Spurs,21.4,0.756,False
1994,Houston Rockets,21.4,0.573,False
2015,Chicago Bulls,21.4,0.512,False
2012,Los Angeles Clippers,21.4,0.683,False
2007,Los Angeles Lakers,21.4,0.695,False
2010,Golden State Warriors,21.3,0.439,False
2011,San Antonio Spurs,21.3,0.758,False
2014,Indiana Pacers,21.2,0.463,False
2008,New Jersey Nets,21.2,0.415,False
2013,Boston Celtics,21.1,0.305,False
2010,San Antonio Spurs,21.1,0.744,False
2008,Indiana Pacers,21.0,0.439,False
2006,Los Angeles Lakers,21.0,0.512,False
2016,Minnesota Timberwolves,21.0,0.378,False
2011,Portland Trail Blazers,20.9,0.424,False
1996,Denver Nuggets,20.9,0.256,False
2007,Houston Rockets,20.8,0.671,False
2013,Washington Wizards,20.8,0.537,False
2010,Denver Nuggets,20.8,0.61,False
2009,Golden State Warriors,20.6,0.317,False
2012,Sacramento Kings,20.5,0.341,False
2004,Toronto Raptors,20.5,0.402,False
2011,Golden State Warriors,20.5,0.348,False
2006,New Jersey Nets,20.4,0.5,False
2012,Milwaukee Bucks,20.4,0.463,False
2008,Cleveland Cavaliers,20.4,0.805,False
1997,Houston Rockets,20.4,0.5,False
2002,Dallas Mavericks,20.3,0.732,False
2003,New Orleans Hornets,20.3,0.5,False
2012,Toronto Raptors,20.3,0.415,False
1996,Orlando Magic,20.3,0.549,False
2001,Orlando Magic,20.2,0.537,False
2014,Miami Heat,20.2,0.451,False
2008,Houston Rockets,20.2,0.646,False
1999,Sacramento Kings,20.2,0.537,False
2010,Indiana Pacers,20.2,0.451,False
2011,Atlanta Hawks,20.2,0.606,False
2011,Houston Rockets,20.2,0.515,False
2001,Dallas Mavericks,20.1,0.695,False
1995,Orlando Magic,20.1,0.732,False
2013,Cleveland Cavaliers,20.0,0.402,False
2011,Oklahoma City Thunder,20.0,0.712,False
2014,Brooklyn Nets,19.9,0.463,False
2008,Atlanta Hawks,19.9,0.573,False
2000,Boston Celtics,19.9,0.439,False
2012,Golden State Warriors,19.9,0.573,False
2008,Dallas Mavericks,19.9,0.61,False
2008,Miami Heat,19.9,0.524,False
2005,Seattle SuperSonics,19.9,0.427,False
2011,Denver Nuggets,19.9,0.576,False
2012,Dallas Mavericks,19.9,0.5,False
1999,Houston Rockets,19.8,0.415,False
1996,Toronto Raptors,19.8,0.366,False
2007,New Orleans Hornets,19.8,0.683,False
2008,San Antonio Spurs,19.8,0.659,False
2005,Toronto Raptors,19.8,0.329,False
2012,Indiana Pacers,19.7,0.605,False
2011,Sacramento Kings,19.7,0.333,False
2014,New York Knicks,19.7,0.207,False
2007,Washington Wizards,19.7,0.524,False
2006,Washington Wizards,19.7,0.5,False
1999,Seattle SuperSonics,19.6,0.549,False
2007,San Antonio Spurs,19.6,0.683,False
2011,Phoenix Suns,19.6,0.5,False
2007,Denver Nuggets,19.6,0.61,False
1994,Golden State Warriors,19.5,0.317,False
2003,Boston Celtics,19.5,0.439,False
2014,Orlando Magic,19.5,0.305,False
2013,Orlando Magic,19.5,0.28,False
1995,Seattle SuperSonics,19.5,0.78,False
1995,Atlanta Hawks,19.5,0.561,False
2008,Sacramento Kings,19.4,0.207,False
2002,Orlando Magic,19.4,0.512,False
2012,Oklahoma City Thunder,19.4,0.732,False
1994,Phoenix Suns,19.3,0.72,False
2014,New Orleans Pelicans,19.3,0.549,False
2005,Los Angeles Lakers,19.3,0.549,False
2001,Milwaukee Bucks,19.3,0.5,False
1996,Seattle SuperSonics,19.3,0.695,False
2009,Cleveland Cavaliers,19.3,0.744,False
2002,New York Knicks,19.3,0.451,False
1995,Cleveland Cavaliers,19.3,0.573,False
2011,Cleveland Cavaliers,19.3,0.318,False
2012,Cleveland Cavaliers,19.3,0.293,False
2013,Detroit Pistons,19.3,0.354,False
1994,Atlanta Hawks,19.3,0.512,False
2005,Memphis Grizzlies,19.2,0.598,False
2013,Utah Jazz,19.2,0.305,False
2004,Indiana Pacers,19.2,0.537,False
2009,New Orleans Hornets,19.2,0.451,False
2011,Milwaukee Bucks,19.2,0.47,False
1997,Seattle SuperSonics,19.1,0.744,False
2014,Charlotte Hornets,19.1,0.402,False
2010,Minnesota Timberwolves,19.1,0.207,False
2007,Boston Celtics,19.1,0.805,False
2009,Los Angeles Lakers,19.0,0.695,False
2006,San Antonio Spurs,19.0,0.707,False
2008,Portland Trail Blazers,19.0,0.659,False
2013,Milwaukee Bucks,18.9,0.183,False
2009,San Antonio Spurs,18.9,0.61,False
1998,Sacramento Kings,18.9,0.54,False
2014,Los Angeles Lakers,18.9,0.256,False
2007,Cleveland Cavaliers,18.8,0.549,False
1997,Miami Heat,18.8,0.671,False
2013,Indiana Pacers,18.8,0.683,False
2008,Minnesota Timberwolves,18.8,0.293,False
2006,Miami Heat,18.8,0.537,False
2012,Orlando Magic,18.7,0.244,False
2005,Indiana Pacers,18.7,0.5,False
2008,New Orleans Hornets,18.6,0.598,False
