date,NASDAQCOM,UMCSENT,NASDAQCOM_yoy_change,UMCSENT_yoy_change,yoy_change_diff
1999-07-01,2706.18,106.0,41.354742329429705,0.7604562737642651,40.59428605566544
1999-08-01,2623.63,104.5,41.73356382691373,0.09578544061301653,41.63777838630072
1999-09-01,2750.8,107.2,74.64398859747699,6.243805748265596,68.40018284921139
1999-10-01,2736.85,103.2,69.74502738273183,5.954825462012314,63.79020192071952
1999-11-01,2967.65,107.2,64.7861358979627,4.3816942551119675,60.40444164285073
1999-12-01,3353.71,105.4,67.37167810355584,4.875621890547266,62.49605621300857
2000-01-01,4131.15,112.0,87.0949480310681,7.79595765158807,79.29899037948003
2000-02-01,4051.98,111.3,61.427677892027766,2.9602220166512483,58.467455875376515
2000-03-01,4784.08,107.1,108.44029662161576,1.3245033112582627,107.11579331035749
2000-04-01,4223.68,109.2,69.39643935717525,4.397705544933084,64.99873381224216
2000-05-01,3958.08,110.7,56.10156256162298,3.6516853932584414,52.44987716836454
2000-06-01,3582.5,106.4,48.52634502887607,-0.8387698042870428,49.36511483316311
2000-07-01,3991.93,108.3,47.51162154771671,2.169811320754711,45.341810226962
2000-08-01,3685.52,107.3,40.4740759939473,2.6794258373205704,37.79465015662673
2000-09-01,4234.33,106.8,53.930856478115444,-0.3731343283582156,54.303990806473664
2000-10-01,3568.9,105.8,30.401739225752245,2.519379844961245,27.882359380791
2000-11-01,3333.39,107.6,12.324229609286807,0.3731343283581934,11.951095280928612
2000-12-01,2645.29,98.4,-21.123472214353654,-6.641366223908918,-14.482105990444737
2001-01-01,2291.86,94.7,-44.52246953027606,-15.446428571428573,-29.07604095884749
2001-02-01,2782.79,90.6,-31.322711365801414,-18.59838274932615,-12.724328616475265
2001-03-01,2183.37,91.5,-54.361758164579186,-14.565826330532206,-39.79593183404698
2001-04-01,1782.97,88.4,-57.786337980150016,-19.047619047619047,-38.73871893253097
2001-05-01,2168.24,92.0,-45.21990460021021,-16.892502258355925,-28.32740234185428
2001-06-01,2149.44,92.6,-40.0016748080949,-12.969924812030087,-27.03174999606481
2001-07-01,2148.72,92.4,-46.17340484427332,-14.68144044321329,-31.49196440106003
2001-08-01,2068.38,91.5,-43.8782044324817,-14.725069897483689,-29.153134534998014
2001-09-01,1770.78,81.8,-58.18039689868291,-23.408239700374533,-34.77215719830838
2001-10-01,1480.46,82.7,-58.51775056740172,-21.833648393194704,-36.68410217420701
2001-11-01,1746.3,83.9,-47.61189059785984,-22.026022304832704,-25.585868293027136
2001-12-01,1904.9,88.8,-27.98899175515728,-9.756097560975618,-18.23289419418166
2002-01-01,1979.25,93.0,-13.640012915274058,-1.7951425554382339,-11.844870359835824
2002-02-01,1911.24,90.7,-31.319287477675285,0.11037527593820151,-31.429662753613485
2002-03-01,1802.74,95.7,-17.433142344174367,4.590163934426239,-22.023306278600607
2002-04-01,1862.62,93.0,4.467265293302747,5.203619909502266,-0.7363546161995194
2002-05-01,1677.53,96.9,-22.631719735822596,5.326086956521747,-27.95780669234434
2002-06-01,1562.56,92.4,-27.30385588804526,-0.21598272138227959,-27.08787316666298
2002-07-01,1403.8,88.1,-34.66808146245206,-4.653679653679665,-30.01440180877239
2002-08-01,1280.0,87.6,-38.11582011042459,-4.262295081967215,-33.853525028457376
2002-09-01,1263.84,86.1,-28.62806220987362,5.256723716381417,-33.884785926255034
2002-10-01,1213.72,80.6,-18.01737297866879,-2.539298669891188,-15.4780743087776
2002-11-01,1360.7,84.2,-22.080971196243482,0.35756853396899935,-22.438539730212483
2002-12-01,1484.78,86.7,-22.05470103417503,-2.3648648648648574,-19.689836169310173
2003-01-01,1384.85,82.4,-30.03157761778452,-11.397849462365583,-18.633728155418936
2003-02-01,1335.76,79.9,-30.110294887089005,-11.907386990077173,-18.202907897011833
2003-03-01,1316.85,77.6,-26.952860645461918,-18.913270637408573,-8.039590008053345
2003-04-01,1356.37,86.0,-27.179456894052468,-7.5268817204301115,-19.652575173622356
2003-05-01,1478.85,92.1,-11.843603393083878,-4.953560371517041,-6.890043021566838
2003-06-01,1586.48,89.7,1.5308212164652835,-2.922077922077926,4.452899138543209
2003-07-01,1641.77,90.9,16.951844992164133,3.178206583427934,13.7736384087362
2003-08-01,1714.01,89.3,33.90703125000001,1.9406392694063967,31.966391980593613
