name,date,affordability_index,lat,lng,one_year_change,one_year_date,population
"Grants Pass, OR",2026-08-01,0.3070981807825381,42.4333,-123.3317,-0.006920384903264021,2025-08-01,88276.0
"Great Falls, MT",2026-08-01,0.2521762248786279,47.5022,-111.2996,0.003809182286908297,2025-08-01,84523.0
"Greeley, CO",2026-08-01,0.1894892616764422,40.4152,-104.7706,-0.005695283271186097,2025-08-01,369745.0
"Green Bay, WI",2026-08-01,0.1586977412671824,44.5148,-87.9895,-0.0013670608089763059,2025-08-01,334697.0
"Greensboro, NC",2026-08-01,0.2369393527589359,36.0956,-79.8271,-0.002387407727257984,2025-08-01,800722.0
"Greenville, NC",2026-08-01,0.2864598541670468,35.5943,-77.376,0.0019333389018479918,2025-08-01,180783.0
"Greenville, SC",2026-08-01,0.2297861482786905,34.8354,-82.3646,-0.0014486330436679906,2025-08-01,996680.0
"Gulfport, MS",2026-08-01,0.2455625471773835,30.4274,-89.0704,0.00033451782320589873,2025-08-01,426793.0
"Hagerstown, MD",2026-08-01,0.2222993989912215,39.6401,-77.7217,-0.0006602477165884857,2025-08-01,311295.0
"Hammond, LA",2026-08-01,0.2781629962204089,30.5061,-90.4563,0.00040082983909212055,2025-08-01,139823.0
"Hanford, CA",2026-08-01,0.2988624701359557,36.3274,-119.6549,-0.003110305549563097,2025-08-01,154913.0
"Harrisburg, PA",2026-08-01,0.2041987404383321,40.2752,-76.8843,0.0006236912461033972,2025-08-01,615361.0
"Harrisonburg, VA",2026-08-01,0.2631052716237506,38.4362,-78.8735,0.006637513147996599,2025-08-01,138838.0
"Hartford, CT",2026-08-01,0.2406707534283375,41.7661,-72.6834,-0.0009785635313772079,2025-08-01,1169048.0
"Hattiesburg, MS",2026-08-01,0.2438404690335174,31.3074,-89.317,0.00036856336906559983,2025-08-01,156575.0
"Helena, MT",2026-08-01,0.1834624984884389,46.5965,-112.0202,-0.0013932186470833885,2025-08-01,96735.0
"Hickory, NC",2026-08-01,0.2781878134007896,35.741,-81.3223,0.0008634036775764797,2025-08-01,373031.0
"Hilton Head Island, SC",2026-08-01,0.249047500570587,32.1896,-80.7499,-0.008831800847731386,2025-08-01,237393.0
"Hinesville, GA",2026-08-01,0.2924478844362272,31.8248,-81.6137,0.005162363265907799,2025-08-01,89046.0
"Homosassa Springs, FL",2026-08-01,0.3245473130551401,28.8119,-82.5392,-0.0052084107703992966,2025-08-01,170174.0
"Hot Springs, AR",2026-08-01,0.2355347974271627,34.4892,-93.0501,0.0017293873239516144,2025-08-01,99902.0
"Houma, LA",2026-08-01,0.2352733006856509,29.58,-90.7059,0.001263412199941194,2025-08-01,199206.0
"Houston, TX",2026-08-01,0.2277908674356178,29.786,-95.3885,-0.0069587961308608115,2025-08-01,7796182.0
"Huntington, WV",2026-08-01,0.200501001378926,38.4109,-82.4345,0.0038096085346733255,2025-08-01,366920.0
"Huntsville, AL",2026-08-01,0.1788553760879971,34.6981,-86.6412,-0.0011179923060627983,2025-08-01,542297.0
