name,date_zori,zori,lat,lng,one_year_change,one_year_date,population_zori,date_homebuilding,total,1 unit,2 units,3 and 4 units,5 units or more,multi_total,rt,multi_rt,population_homebuilding,rt_pc,multi_rt_pc,region,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01
"Las Vegas, NV",2026-01-01,1712.6382974409555,36.2333,-115.2654,0.388585533131347,2025-01-01,2398871.0,2026-01-01,1056.0,523.0,10.0,0.0,523.0,533.0,13293.0,4347.0,2398871.0,5.541356746569532,1.8121024431909845,West,5.790223817787617,5.741034011416204,5.878181861383959,5.7243595007818255,5.880683037979116,5.8452497028810635,5.978228925190225,5.894439509252478,5.676420282707991,5.781469699704569,5.565117924223521,5.630565378463452,5.475492429563741,5.55052772741844,5.874846959257084,5.85567127202755,5.504672823173902,5.338344579595985,5.126995157305249,5.184939081759711,5.674335968878693,5.530101451891327,5.6397363593123595,5.541356746569532
"Los Angeles, CA",2026-01-01,2874.69401299114,34.1141,-118.4068,2.3011078084587355,2025-01-01,12927614.0,2026-01-01,2616.0,868.0,126.0,22.0,1600.0,1748.0,28566.0,16408.0,12927614.0,2.209688500909758,1.2692210643046735,West,2.2055887497878572,2.219589786638122,2.1802167051089243,2.2069037642986555,2.1269972943189672,2.092110732885434,2.0078724503995864,2.03788572276369,2.067280164769771,2.0873147976107576,2.107581491836003,2.088243043147792,2.0755570208083256,2.063257767442623,2.099846112360719,2.0548262038145633,2.0805850174672607,2.054362081046046,2.0860771368947124,2.0771040967033825,2.099149928207943,2.0785738188036866,2.1368985800473315,2.209688500909758
"Memphis, TN",2026-01-01,1425.34120510434,35.1087,-89.9663,1.8396637572346775,2025-01-01,1339345.0,2026-01-01,240.0,219.0,0.0,16.0,5.0,21.0,3313.0,254.0,1339345.0,2.4735971687653295,0.18964493838406088,Southeast,3.3919565160582223,3.417342058991522,3.3740373092817757,3.609973531838324,3.501711657563958,3.4046492875248724,3.29116097794071,3.2829480081681717,3.1687130649683244,3.1776726683565477,3.1395943539565985,3.173192866662436,2.908884566709847,2.937256644105888,2.920084070945126,2.6669752752278164,2.6834012147728927,2.651295969298426,2.3414430187890347,2.3922141046556336,2.3690684625693903,2.3459228204831466,2.4713572679182736,2.4735971687653295
"Miami, FL",2026-01-01,2649.860091319902,25.784,-80.2101,0.6480701273775313,2025-01-01,6457988.0,2026-01-01,1769.0,453.0,48.0,0.0,1268.0,1316.0,22254.0,16751.0,6457988.0,3.4459649042395246,2.5938419210441395,Southeast,3.1834992570441445,2.9922632250168317,3.034071912180698,3.0642670751323786,2.978946383920193,2.8801540046218728,2.6480383673676693,2.5620982881975007,2.5257092456659875,2.585944724579854,2.571079413588257,2.473370963216407,2.5179668961911976,2.5452199663424584,2.489784744102962,2.519825060065147,2.9337310629874196,3.1712663448739766,3.097249483894984,3.2208173815126324,3.210132939237422,3.256741883075658,3.345159514077759,3.4459649042395246
"Milwaukee, WI",2026-01-01,1477.7845649584594,43.0642,-87.9675,4.285220311673488,2025-01-01,1574452.0,2026-01-01,221.0,133.0,22.0,0.0,66.0,88.0,3147.0,1406.0,1574452.0,1.998790690348134,0.8930091231742854,Midwest,1.6412059561040921,1.656449355077195,1.8431809924977072,2.010223239577961,2.1124810410225274,2.2426850739177824,2.2947666870758843,2.2541176231476094,2.350659149977262,2.4929308737262232,2.3036586698101944,2.349388866729503,2.411632745869674,2.4046461880070016,2.2833341378460568,2.251577056652092,2.18171147802537,2.207117142980542,2.1353461394821815,2.1404272724732163,2.052142586753994,1.8825597731782233,1.999425831972013,1.998790690348134
"Minneapolis, MN",2026-01-01,1651.609819896814,44.9635,-93.2678,4.428325711177994,2025-01-01,3757952.0,2026-01-01,913.0,497.0,2.0,0.0,414.0,416.0,14113.0,5306.0,3757952.0,3.755502997377295,1.4119392690486734,Midwest,4.572703429953336,4.476374365611908,4.3566282911543315,4.168760005449776,4.082010627064954,3.9907375080895124,3.745657209033005,3.8212302871351205,3.973174750502401,4.0561986954596545,4.051941057256719,3.8731202527334037,3.9484272284478354,3.9316627780237745,4.093453029735346,4.094251336898395,3.9415085663680642,3.951620457100038,4.032781685343506,3.9396458496542794,3.861145645287646,3.6857841718042166,3.6982909840253417,3.755502997377295
"Nashville, TN",2026-01-01,1775.053980468323,36.1715,-86.7842,0.592455447907736,2025-01-01,2150553.0,2026-01-01,1248.0,782.0,0.0,0.0,466.0,466.0,19029.0,5917.0,2150553.0,8.848421778026395,2.751385341351736,Southeast,10.480560116397967,10.319206269271206,9.674720874119355,9.773765166447886,9.59892641567076,9.696575717966496,9.053485312847439,9.511507040282197,9.199029272935846,9.220884116782987,9.27854370480523,9.308768488849147,9.065575226465008,9.31899841575632,9.142764674946397,8.706132794681182,8.953046030486114,9.188334349351074,9.170199478924722,8.882831532168701,9.033955452388293,8.977690854398846,8.99768571153559,8.848421778026395
"New York, NY",2026-01-01,3243.75172760219,40.6943,-73.9249,4.661198545987033,2025-01-01,19940274.0,2026-01-01,6012.0,1044.0,216.0,91.0,4661.0,4968.0,49442.0,37549.0,19940274.0,2.479504544421004,1.8830734221605983,Northeast,2.309847898780127,2.295906264878808,2.4311601736265005,2.366567279867869,2.437830092003751,2.5383803652848504,2.571027860499811,2.656884253446066,2.710193450701831,2.8161598983043064,2.990380172308565,2.950661560618475,2.663704621110021,2.5727329524157994,2.49219243426645,2.5087418558039873,2.463406470743582,2.409946824201112,2.3495665104702175,2.3533778924000743,2.368723719643973,2.3397873068344,2.388633175251253,2.479504544421004
"Oklahoma City, OK",2026-01-01,1352.1678870459457,35.4676,-97.5136,2.8578638363651043,2025-01-01,1497821.0,2026-01-01,715.0,668.0,22.0,0.0,25.0,47.0,8435.0,2228.0,1497821.0,5.631514046070926,1.4874941665259065,Southwest,4.409071577978944,4.628723993053909,4.871076049808354,4.776271663970528,4.798971305650008,4.729537107571599,4.620712354814093,4.6227152643740475,4.6781290955327774,4.756242568370986,4.825009129929411,4.945851340046641,5.213573584560505,5.148812842121989,5.137463021282249,5.093399010963259,5.130786656082402,5.142804113442127,5.217579403680413,5.350439071157368,5.412529267515945,5.3497714346373835,5.584111853152012,5.631514046070926
"Orlando, FL",2026-01-01,1914.043192765643,28.4773,-81.337,0.5155372819197757,2025-01-01,2940513.0,2026-01-01,1394.0,956.0,10.0,0.0,428.0,438.0,25156.0,11416.0,2940513.0,8.554969830094272,3.8823157727920266,Southeast,8.791323146675428,8.332559658807835,8.134975087680278,8.258082858331182,8.145177389115435,8.14993846311851,8.061858594061649,7.934669902836682,7.877196938085293,7.788096838884916,7.999284478592681,8.512800317495621,8.693381052897914,9.364012333902282,9.417744454794112,9.21709919323601,9.181731214927463,9.241924793394894,9.1324200913242,9.142622392759359,9.424886065798722,9.307899676008914,9.31606151715704,8.554969830094272
"Philadelphia, PA",2026-01-01,1846.405365480814,40.0077,-75.1339,3.083965179197379,2025-01-01,6330422.0,2026-01-01,1136.0,489.0,16.0,68.0,563.0,647.0,13661.0,5823.0,6330422.0,2.157991994846473,0.9198438903441192,Northeast,2.142195259652516,2.170471415649699,2.143774933171912,2.1748945015040073,2.1500936272494946,2.1418793249486368,2.1605194724775063,2.151515333416951,2.0846951435465124,2.1290839694415316,2.167312068610908,2.1644686562759956,2.1946404204964534,2.16652223185121,2.1733148279846115,2.0993861072768927,2.1306636429609274,2.126714459162438,2.0951209887745237,2.131611447072565,2.1347707941113563,2.10033391138853,2.125608687698861,2.157991994846473
"Phoenix, AZ",2026-01-01,1715.7588152027731,33.5722,-112.0892,-0.517022947452539,2025-01-01,5186958.0,2026-01-01,2114.0,1584.0,46.0,8.0,476.0,530.0,38878.0,15365.0,5186958.0,7.495337344162031,2.9622372110975257,Southwest,9.26381127435387,9.04345090127971,9.20192529031467,9.164331000945063,9.41148935464679,9.275571539233594,9.275571539233594,9.024171778526064,8.975202806731806,8.824440066798305,8.577474504324114,8.218111656196175,7.968254225308938,7.915043846508879,7.8791846781871,7.929695979801648,7.7966700328015,7.839084102859517,7.463141209163444,7.292713764021224,7.213669360731281,7.097416250526802,7.605806717540416,7.495337344162031
"Pittsburgh, PA",2026-01-01,1438.30483400935,40.4397,-79.9763,4.0061045272301365,2025-01-01,2429917.0,2026-01-01,421.0,250.0,4.0,3.0,164.0,171.0,5211.0,1594.0,2429917.0,2.1445176934026966,0.6559894844144882,Northeast,2.207482807025919,2.2527518429641837,2.3054285393287097,2.2873209249534034,2.3375284011758426,2.3725090198554106,2.435885670168981,2.3531667954090616,2.3811512903527157,2.4379433536207205,2.506258444218465,2.49761617372116,2.438766427001416,2.433416450026894,2.4247741795295887,2.421893422697154,2.3700397997133233,2.32271308032332,2.2494595494414003,2.231351935066095,2.206248196954875,2.1502792070675665,2.1473984502351313,2.1445176934026966
"Portland, OR",2026-01-01,1776.907457382473,45.5371,-122.65,1.0278773729230917,2025-01-01,2537904.0,2026-01-01,691.0,490.0,32.0,9.0,160.0,201.0,8294.0,2251.0,2537904.0,3.2680511161966725,0.8869523827536423,West,4.02536896588681,3.976509749777769,3.71842276145985,3.688082764359881,3.615976018005409,3.5580542053600133,3.520227715469143,3.5072248595691566,3.5233799229600486,3.4654581103146533,3.5982448508690634,3.6817783493780696,3.7180287355234873,3.6514383522781,3.672321726905352,3.6857186087417015,3.653408481959916,3.5872121246508932,3.4894936924328106,3.4690043437419225,3.4426046060055855,3.3421279922329608,3.314152150751171,3.2680511161966725
"Providence, RI",2026-01-01,2077.8819786161994,41.823,-71.4187,5.111655671797211,2025-01-01,1700901.0,2026-01-01,134.0,82.0,30.0,9.0,13.0,52.0,2593.0,1396.0,1700901.0,1.5244861399928626,0.8207414776051046,Northeast,1.0894226060188101,1.0688452767092265,1.050619642177881,1.017107991587988,1.0065253650859163,1.0500317184833214,1.061790192374512,1.0759003610439408,1.1687923047843467,1.1740836180353824,1.195836794734085,1.1987764132068828,1.1752594654245017,1.1917213288721684,1.204655650152478,1.2416948429097283,1.2887287384744908,1.283437425223455,1.3069543730058362,1.525074063687422,1.476276397038981,1.4845073287628143,1.533892919105815,1.5244861399928626
"Raleigh, NC",2026-01-01,1643.4942733996809,35.8324,-78.6429,0.24930752781546772,2025-01-01,1562009.0,2026-01-01,1583.0,796.0,14.0,0.0,773.0,787.0,18206.0,6646.0,1562009.0,11.655502625144925,4.254777021131121,Southeast,12.498007373837154,12.37700935141859,12.530657633854863,12.23744549487231,12.459595303228086,12.810425548124243,13.687501160364633,13.942941429914935,13.498001612026563,12.998644694108677,12.232323885457767,12.189430406610974,12.16702336542235,12.377649552595408,12.472399326764442,12.61580439037163,12.142055519526455,11.893657462921148,11.303391977895133,11.138860275452958,10.950000928291708,10.94295871534671,11.325158817906939,11.655502625144925
"Richmond, VA",2026-01-01,1638.1696338217275,37.5295,-77.4756,3.0687123664709715,2025-01-01,1370165.0,2026-01-01,1494.0,263.0,2.0,0.0,1229.0,1231.0,9288.0,5147.0,1370165.0,6.778745625526852,3.756481883568767,Southeast,6.8568384099725215,6.611612470030981,6.659052011983959,6.567822123612849,6.966314276017852,7.202052307568796,7.210080537745454,6.667080242160616,6.007305689460758,6.241584042797765,6.329894574740998,6.685326219834837,7.034919152072925,7.274306379158714,7.477931490003029,7.55456459623476,7.263358792554182,7.052435290640179,6.88384245693037,6.85172953622374,7.255330562377524,6.895519882641871,6.646644747165488,6.778745625526852
