Name,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,date,multi_total
"East Stroudsburg, PA",27.0,19.0,0.0,3.0,5.0,2026-04-01,8.0
"Easton, MD",30.0,30.0,0.0,0.0,0.0,2026-04-01,0.0
"Eau Claire, WI",70.0,34.0,4.0,0.0,32.0,2026-04-01,36.0
"Edwards, CO",24.0,16.0,0.0,3.0,5.0,2026-04-01,8.0
"Effingham, IL",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"El Campo, TX",15.0,15.0,0.0,0.0,0.0,2026-04-01,0.0
"El Centro, CA",21.0,21.0,0.0,0.0,0.0,2026-04-01,0.0
"El Dorado, AR",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"El Paso, TX",209.0,193.0,6.0,4.0,6.0,2026-04-01,16.0
"Elizabeth City, NC",35.0,35.0,0.0,0.0,0.0,2026-04-01,0.0
"Elizabethtown, KY",67.0,62.0,2.0,3.0,0.0,2026-04-01,5.0
"Elk City, OK",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Elkhart, IN",58.0,50.0,0.0,0.0,8.0,2026-04-01,8.0
"Elkins, WV",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Elko, NV",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Ellensburg, WA",24.0,24.0,0.0,0.0,0.0,2026-04-01,0.0
"Elmira, NY",9.0,4.0,0.0,0.0,5.0,2026-04-01,5.0
"Emporia, KS",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Enid, OK",3.0,1.0,2.0,0.0,0.0,2026-04-01,2.0
"Enterprise, AL",19.0,19.0,0.0,0.0,0.0,2026-04-01,0.0
"Erie, PA",11.0,11.0,0.0,0.0,0.0,2026-04-01,0.0
"Escanaba, MI",6.0,6.0,0.0,0.0,0.0,2026-04-01,0.0
"Eufaula, AL",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Eugene, OR",72.0,49.0,2.0,3.0,18.0,2026-04-01,23.0
"Eureka, CA",22.0,15.0,4.0,3.0,0.0,2026-04-01,7.0
"Evanston, WY",11.0,11.0,0.0,0.0,0.0,2026-04-01,0.0
"Evansville, IN",61.0,59.0,2.0,0.0,0.0,2026-04-01,2.0
"Fairbanks, AK",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Fairmont, MN",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Fairmont, WV",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Fallon, NV",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"Fargo, ND",126.0,78.0,0.0,4.0,44.0,2026-04-01,48.0
"Faribault, MN",12.0,12.0,0.0,0.0,0.0,2026-04-01,0.0
"Farmington, MO",14.0,9.0,2.0,3.0,0.0,2026-04-01,5.0
