name,lat,lng,population
"Midland, TX",32.0243,-102.1147,143714
"Greeley, CO",40.4152,-104.7706,143554
"Torrance, CA",33.8346,-118.3416,143499
"Thornton, CO",39.9197,-104.9438,142878
"Las Cruces, NM",32.3265,-106.7893,142432
"Columbia, MO",38.9472,-92.3268,141811
"Fullerton, CA",33.8841,-117.9279,141278
"Grand Junction, CO",39.0877,-108.5673,141008
"Carolina, PR",18.4054,-65.9792,139051
"Metairie, LA",29.9977,-90.178,138995
"Orange, CA",33.8038,-117.8218,138723
"Warren, MI",42.4934,-83.027,138128
"West Valley City, UT",40.6886,-112.0123,137955
"Hampton, VA",37.0551,-76.363,137334
"Pasadena, CA",34.1597,-118.139,136462
"Miramar, FL",25.9773,-80.3351,135986
"Elizabeth, NJ",40.6658,-74.1913,135887
"Stamford, CT",41.1039,-73.5585,135806
"Racine, WI",42.7274,-87.8135,135512
"Kent, WA",47.3887,-122.2128,135015
"Yakima, WA",46.5923,-120.5496,134003
"Coral Springs, FL",26.2702,-80.2591,133962
"Sterling Heights, MI",42.5809,-83.0305,133473
"Billings, MT",45.7891,-108.5526,133173
"Bloomington, IL",40.4757,-88.9703,133107
"Charleston, WV",38.3484,-81.6322,133045
"Carrollton, TX",32.989,-96.8999,132741
"Tyler, TX",32.3184,-95.3062,131037
"Iowa City, IA",41.6559,-91.5303,129897
"Johnson City, TN",36.3406,-82.3806,129818
"Santa Clara, CA",37.3646,-121.968,129239
"Bellingham, WA",48.7548,-122.469,128737
"Norman, OK",35.2335,-97.3471,128714
"Coeur d'Alene, ID",47.704,-116.7936,128680
"Fort Smith, AR",35.3495,-94.3695,128384
"Lewisville, TX",33.0454,-96.9815,128313
"Dover, DE",39.161,-75.5202,128045
"Yuba City, CA",39.1357,-121.6383,127854
"Lehigh Acres, FL",26.612,-81.6388,127391
"Abilene, TX",32.4543,-99.7384,127130
"Simi Valley, CA",34.2663,-118.749,126503
"Pearland, TX",29.5581,-95.3218,125983
"Kenosha, WI",42.5865,-87.8773,125807
"Arecibo, PR",18.4491,-66.7387,125548
"Meridian, ID",43.6116,-116.3977,124865
"Round Rock, TX",30.527,-97.6642,124288
"Waldorf, MD",38.6085,-76.9194,124186
"Temple, TX",31.1068,-97.3891,123932
"Lynchburg, VA",37.4003,-79.1909,123662
"Rochester, MN",44.0154,-92.478,123252
"Logan, UT",41.7399,-111.8422,122915
"Arvada, CO",39.832,-105.151,122835
"Clovis, CA",36.8278,-119.683,122719
"Independence, MO",39.0871,-94.3501,121944
"Redding, CA",40.5698,-122.365,120849
"Greenville, NC",35.5943,-77.376,120595
"Duluth, MN",46.7756,-92.1393,120443
"Berkeley, CA",37.8722,-122.276,120223
"Boulder, CO",40.0248,-105.2524,120121
"Pueblo, CO",38.2701,-104.6114,120020
"West Palm Beach, FL",26.7469,-80.132,119508
"Burlington, VT",44.4876,-73.2316,118409
"Seaside, CA",36.6224,-121.8199,118398
"Richardson, TX",32.9716,-96.7093,118269
"Cambridge, MA",42.3759,-71.1185,117794
"Monroe, LA",32.5185,-92.0774,117507
"North Charleston, SC",32.9067,-80.0722,117460
"Saginaw, MI",43.4199,-83.9501,117412
"Clearwater, FL",27.979,-82.7623,117075
"The Woodlands, TX",30.1738,-95.5134,116916
"Brandon, FL",27.9367,-82.3,116365
"St. Cloud, MN",45.534,-94.1718,116347
"West Jordan, UT",40.6024,-112.0008,116277
"Broken Arrow, OK",36.038,-95.7806,115919
"Harlingen, TX",26.1916,-97.6977,115767
"Kailua, HI",21.392,-157.7396,115634
"Westminster, CO",39.8837,-105.0624,115546
"Gilroy, CA",37.0046,-121.5854,115448
"Richmond, CA",37.9477,-122.3389,115396
"Mandeville, LA",30.3751,-90.0904,115292
"Utica, NY",43.0962,-75.2261,114961
"Ponce, PR",18.0127,-66.6212,114940
"League City, TX",29.4874,-95.1087,114885
"Port Arthur, TX",29.8554,-93.9264,114860
"Lowell, MA",42.6389,-71.3217,114799
"East Los Angeles, CA",34.0326,-118.1691,114617
"Carlsbad, CA",33.1246,-117.2834,114500
"Elgin, IL",42.0383,-88.324,114106
"Waterloo, IA",42.4918,-92.3522,113832
"Leominster, MA",42.5209,-71.7717,113462
"Bend, OR",44.0563,-121.3095,113454
"Sioux City, IA",42.4959,-96.3901,112823
"Gresham, OR",45.5021,-122.4413,112818
"Longview, TX",32.5193,-94.7622,112687
"Pompano Beach, FL",26.2428,-80.1312,112212
"Downey, CA",33.9379,-118.1311,111793
"Murrieta, CA",33.5719,-117.1909,111621
"Idaho Falls, ID",43.4871,-112.0362,111295
"Miami Gardens, FL",25.9433,-80.2426,111264
"Everett, WA",47.9525,-122.1669,111083
"Holland, MI",42.7677,-86.0984,110905
"Costa Mesa, CA",33.6667,-117.9135,110538
"Temecula, CA",33.4928,-117.1315,110404
"Jacksonville, NC",34.7289,-77.3941,109958
"San Buenaventura, CA",34.2741,-119.2314,109900
"Sugar Land, TX",29.5935,-95.6358,109735
"Chico, CA",39.7578,-121.8161,109411
"South Fulton, GA",33.6273,-84.58,109157
"Sparks, NV",39.5736,-119.7161,109106
"Eau Claire, WI",44.8197,-91.4948,108477
"Auburn, AL",32.6087,-85.4903,108327
"Dearborn, MI",42.3127,-83.213,107846
"Riverview, FL",27.8227,-82.3023,107776
"Allen, TX",33.1088,-96.6735,107684
"West Covina, CA",34.0555,-117.9113,107436
"Centennial, CO",39.5926,-104.8673,107386
"Bloomington, IN",39.1637,-86.5257,107262
"Sandy Springs, GA",33.9366,-84.3703,107198
"El Monte, CA",34.0739,-118.0291,107066
"Hillsboro, OR",45.5273,-122.936,107050
"Menifee, CA",33.6909,-117.1849,107020
"Rio Rancho, NM",35.2873,-106.6982,106533
"Davie, FL",26.0789,-80.287,106412
"Jurupa Valley, CA",34.001,-117.4706,106244
"Columbia, MD",39.2004,-76.859,105871
"Inglewood, CA",33.9566,-118.3444,105575
"Spokane Valley, WA",47.6626,-117.2346,105460
"Renton, WA",47.4784,-122.1918,105279
"San Tan Valley, AZ",33.1786,-111.5629,105231
"Burbank, CA",34.1879,-118.3235,105165
"Brockton, MA",42.0821,-71.0242,105080
"El Cajon, CA",32.8017,-116.9604,104909
"Rialto, CA",34.1175,-117.3892,103866
"San Mateo, CA",37.5522,-122.3121,103555
"Goodyear, AZ",33.2614,-112.3622,102891
"Charlottesville, VA",38.0375,-78.4855,102802
"Lafayette, CO",39.9946,-105.0998,102615
"Lee's Summit, MO",38.9171,-94.3816,102583
"Edinburg, TX",26.3196,-98.1597,102561
"Daly City, CA",37.6862,-122.4685,102560
"Wichita Falls, TX",33.9072,-98.5291,102558
"Bowling Green, KY",36.9716,-86.4378,102247
"Longmont, CO",40.1686,-105.1005,102183
"Vacaville, CA",38.3587,-121.9673,102085
"Highlands Ranch, CO",39.5419,-104.9708,101437
"Quincy, MA",42.2506,-71.0187,101361
"Fishers, IN",39.9588,-85.9659,100918
"Lynn, MA",42.4781,-70.9664,100905
"Norwalk, CA",33.9069,-118.0829,100713
"Carmel, IN",39.965,-86.146,100501
"Hesperia, CA",34.3975,-117.3147,100141
"St. Augustine, FL",29.8976,-81.31,99936
"Buckeye, AZ",33.4314,-112.6429,99844
"San Angelo, TX",31.4424,-100.4504,99507
"Federal Way, WA",47.3091,-122.3358,99232
"Bismarck, ND",46.8143,-100.7694,99060
"Boca Raton, FL",26.3752,-80.108,98833
"New Braunfels, TX",29.6994,-98.1148,98700
"Vista, CA",33.1896,-117.2386,98646
"Beaverton, OR",45.4779,-122.8168,97502
"Portsmouth, VA",36.8468,-76.354,97299
"Orem, UT",40.2981,-111.6994,97048
"Conroe, TX",30.3238,-95.4824,96976
"Suffolk, VA",36.6953,-76.6398,96638
"Sunrise, FL",26.1547,-80.2997,96633
"Lawrence, KS",38.9597,-95.2642,96380
"Arden-Arcade, CA",38.6017,-121.3845,96319
"Prescott Valley, AZ",34.598,-112.3185,96190
"Middletown, OH",39.5033,-84.3659,95894
"San German, PR",18.0827,-67.046,95622
"Edmond, OK",35.6689,-97.416,95618
"Tracy, CA",37.7269,-121.4523,95358
"Manteca, CA",37.7927,-121.2264,95347
"Kingsport, TN",36.5224,-82.5454,95059
"Portsmouth, NH",43.058,-70.7826,94815
"Sandy, UT",40.5709,-111.8506,94723
"Palm Coast, FL",29.5389,-81.2457,94362
"Slidell, LA",30.2887,-89.7828,94220
"San Marcos, CA",33.135,-117.1743,94078
"Livonia, MI",42.3972,-83.3733,94058
"Santa Fe, NM",35.6619,-105.9819,94032
"Plantation, FL",26.1259,-80.2617,94002
"Atascocita, TX",29.9777,-95.1953,93926
"Fall River, MA",41.7136,-71.1015,93764
"Compton, CA",33.893,-118.2274,93525
"Carson, CA",33.8374,-118.2559,93523
"La Crosse, WI",43.8241,-91.2268,93163
"Missoula, MT",46.8751,-114.0214,92942
"O'Fallon, MO",38.785,-90.7175,92697
"Mount Pleasant, SC",32.8537,-79.8203,92662
"Roswell, GA",34.0391,-84.3513,92577
"Hoover, AL",33.3763,-86.8068,92401
"Florence, SC",34.178,-79.7898,92315
"Williamsburg, VA",37.2693,-76.7076,91935
"South Gate, CA",33.9447,-118.1926,91836
"Chino, CA",33.9836,-117.6654,91775
"Fort Myers, FL",26.6194,-81.8302,91730
"Kirkland, WA",47.697,-122.2057,91614
"Santa Monica, CA",34.0235,-118.481,91535
"Vineland, NJ",39.4653,-74.9981,91393
"Norwalk, CT",41.1144,-73.4215,91375
"Alafaya, FL",28.528,-81.1868,90874
"Lawton, OK",34.6175,-98.4202,90662
"Avondale, AZ",33.3873,-112.3235,90644
"Germantown, MD",39.1755,-77.2643,90521
"Rapid City, SD",44.0716,-103.2204,90421
"Westminster, CA",33.7523,-117.9938,90147
"Clifton, NJ",40.863,-74.1575,89247
"Waukegan, IL",42.3698,-87.8716,88919
"Bloomington, MN",44.8306,-93.3151,88838
"Mayaguez, PR",18.2003,-67.1397,88722
"San Leandro, CA",37.7074,-122.1599,88531
"Newton, MA",42.3316,-71.2085,88504
"Joplin, MO",37.0757,-94.5018,88490
"Lawrence, MA",42.7002,-71.1626,88297
"Springdale, AR",36.1901,-94.1574,87388
"Troy, MI",42.5817,-83.1457,87307
"Citrus Heights, CA",38.6948,-121.288,87036
"Deerfield Beach, FL",26.305,-80.1277,86742
"Town 'n' Country, FL",28.0106,-82.5763,86544
"Winchester, VA",39.1735,-78.1746,86501
"Mission, TX",26.2039,-98.3256,86234
"Bryan, TX",30.665,-96.3807,86169
"Hawthorne, CA",33.9147,-118.3476,85933
"Whittier, CA",33.9678,-118.0188,85925
"Livermore, CA",37.6868,-121.7607,85870
"Lake Forest, CA",33.6605,-117.6714,85846
"San Ramon, CA",37.7624,-121.9365,85734
"Melbourne, FL",28.1086,-80.6627,85718
"Franklin, TN",35.92,-86.8516,85575
"Auburn, WA",47.3039,-122.2108,85455
"Port Huron, MI",42.9821,-82.4388,85051
"Decatur, IL",39.8557,-88.9342,84629
"Baytown, TX",29.7587,-94.9671,84538
"Brooklyn Park, MN",45.1112,-93.3505,84349
"Springfield, OH",39.93,-83.7959,84309
"Newport Beach, CA",33.6151,-117.8668,84304
"Westland, MI",42.3192,-83.3805,84155
"Newark, OH",40.0706,-82.425,83890
"Muncie, IN",40.1989,-85.395,83477
"Farmington Hills, MI",42.486,-83.3771,83316
"Cicero, IL",41.8445,-87.7593,83223
"Buena Park, CA",33.8572,-118.0046,83052
"Warwick, RI",41.7062,-71.4334,82871
"Hattiesburg, MS",31.3074,-89.317,82730
"Cranston, RI",41.7658,-71.4858,82632
"Albany, GA",31.5776,-84.1762,82612
"Layton, UT",41.077,-111.962,82512
"Madera, CA",36.963,-120.0778,82510
"Largo, FL",27.9088,-82.7712,82506
"Redwood City, CA",37.5025,-122.2253,82423
"Mountain View, CA",37.4001,-122.0796,82363
"Pine Hills, FL",28.5818,-81.4692,82264
"Folsom, CA",38.6668,-121.1422,82140
"Silver Spring, MD",39.0028,-77.0207,82129
"Johns Creek, GA",34.0333,-84.2027,82115
"The Villages, FL",28.9034,-81.9887,82108
"Owensboro, KY",37.7575,-87.1172,81734
"Napa, CA",38.2975,-122.301,81643
"New Rochelle, NY",40.9304,-73.7836,81591
"Alhambra, CA",34.084,-118.1355,81483
"Cheyenne, WY",41.135,-104.7902,81378
